Nh,Time (s),Energy (J),Power (W)
1,7.375243799924646e-07,1.9555614999999997e-05,26.515211605885895
1,7.2553206000066e-07,1.9475659999999998e-05,26.843279675307915
2,7.385520850084504e-07,1.9751529999999998e-05,26.743584373976827
3,7.368412449841343e-07,1.999262e-05,27.132873106785006
4,7.375643550039968e-07,1.9448800000000003e-05,26.368953255468277
6,7.429107099960674e-07,1.993037e-05,26.82740971671481
9,7.489824300000692e-07,1.9673095e-05,26.26643057567877
13,7.566819849989771e-07,2.0805299999999992e-05,27.495434558321246
19,7.728946899851507e-07,2.33288e-05,30.18367224187839
28,7.847296600039045e-07,2.1512409999999995e-05,27.41378476747388
41,8.502332350099095e-07,2.5310605e-05,29.769013910288987
60,8.973168450029335e-07,2.3782584999999994e-05,26.50411070787626
88,1.055130550003014e-06,3.200003e-05,30.328029076504883
127,1.927390474993444e-06,8.104502999999998e-05,42.04909749814741
185,3.335959864998585e-06,0.00012686276499999997,38.028864295120584
269,3.846699534997242e-06,0.00016480640500000002,42.84358669051031
391,5.252773819988761e-06,0.0002384857149999999,45.401862553547026
569,6.355160454991165e-06,0.00032497626,51.13580723910326
826,9.946052775012504e-06,0.0006626530150000002,66.62472339426805
1200,1.6590427800110775e-05,0.0011103851000000002,66.92926266751158
1743,7.676248660000058e-05,0.005340983499999999,69.57804178271577
2531,0.00018338582579981448,0.0137675919,75.07446030768386
3677,0.0007010909116997937,0.0515806723,73.5720167516403
5340,0.0018166511038999488,0.1184091695,65.17991773202992
7756,0.003726520199399693,0.22688791999999997,60.88466125490195
11264,0.008026604545007103,0.53768905,66.98835690546957
16360,0.016861630434996187,1.160571355,68.82913010542818
23760,0.03486982029500268,2.354650950000001,67.5269023493492
34508,0.07320892411501063,5.200557364999999,71.0372052023325
50118,0.15391238136998256,11.111009455000001,72.19048497658406
