Nh,Time (s),GPU Energy (J),CPU Energy (J),Power (W)
1,4.30951682000341e-06,6.110071727964742e-05,0.00011363801999999999,26.370504582348804
1,4.304880359986783e-06,7.086785279076664e-05,0.00011441437999999999,26.57947717676598
1,4.344443580030202e-06,8.024329008584846e-05,0.00011400056000000002,26.242389628498582
2,4.318739849995836e-06,8.238827710652048e-05,0.00011373016999999998,26.336017637209956
2,4.408389650006938e-06,8.341242524313284e-05,0.00011722870999999999,26.59407639110854
3,4.379885869984719e-06,8.058133302501911e-05,0.00011534942999999999,26.338012445154114
4,4.392012959997373e-06,7.941148911695236e-05,0.00011551486,26.302928122211657
5,4.412991600020178e-06,7.906076419906174e-05,0.00011625767,26.34620375754167
7,4.392558510025992e-06,7.827965865866334e-05,0.00011312104999999998,25.75466615192595
9,4.5946007800102956e-06,8.290997697798521e-05,0.00011542389,25.123441256780787
12,4.33151349997388e-06,7.94475471313225e-05,0.00011049775,25.51202826973251
16,4.319289390004997e-06,8.032275834669437e-05,0.00011555756,26.7556956053866
21,4.359822229989732e-06,8.239123110590772e-05,0.00011255220999999999,25.81766914940673
27,4.306464020010025e-06,8.712320010070414e-05,0.00011517245999999998,26.746112790486222
34,4.425620409992917e-06,9.509746765824758e-05,0.00011408419,25.78027251457873
45,4.422277910007325e-06,9.608368841935881e-05,0.00011640840999999999,26.32535101870661
58,4.318214880022424e-06,9.421199680378914e-05,0.00011600802,26.866991269462435
74,4.279642359997524e-06,9.403574692844503e-05,0.00011324006,26.46236627544343
96,4.359037379990696e-06,9.67093837567937e-05,0.00011170990999999999,25.629415676304593
124,4.379736809996756e-06,9.839442132662452e-05,0.00011244722000000002,25.67667053007849
160,4.401898750011242e-06,0.00010082887974255973,0.00011588838000000001,26.32919772377566
206,4.3082044099992345e-06,0.00010247466828227798,0.00011855803,27.52150672288779
266,5.614007730000595e-06,0.00014632867416173768,0.00014372276,25.603347979810096
343,5.5615919900265e-06,0.00015956839646056033,0.00014244654,25.61541737617739
442,6.18670893001763e-06,0.0001908826437203583,0.00016056905000000002,25.956957729915448
570,4.369845139999598e-06,0.00014705104652929475,0.00011228059,25.697774890445892
735,1.8911959589986507e-05,0.000657456006074531,0.00044970895,23.782553753682144
948,7.942513719999623e-06,0.000276023383376289,0.00019763499000000003,24.8866545238646
1222,1.0812255399650893e-05,0.0003606067973784484,0.0002621574,24.313019598449788
1575,1.7956045399296273e-05,0.0005796624591752844,0.00045219600000000003,25.248064139841702
2030,2.390606600056344e-05,0.0007390885692034226,0.0005988269999999999,25.111001345142366
2617,0.00014330640839998522,0.004540348540611297,0.0033289346000000006,23.292848737925443
3374,0.00024828265919968546,0.00799510922862325,0.0054964952,22.20245914133531
4349,0.00041100323779974133,0.01306005620325038,0.0090826308,22.162234303858096
5606,0.0007715961647998483,0.024541235750223378,0.016139619599999995,20.980744838764206
7227,0.0015188994475998697,0.049383260779227625,0.032853333799999995,21.694684325134677
9316,0.002687025340200125,0.09127438874329832,0.0599465872,22.37758514145021
12008,0.0031337412499942733,0.05977063714846045,0.0694798,24.08361783036553
15479,0.005787289769987183,0.11749637349647428,0.1272256,24.01632360561078
19952,0.009678585600004227,0.20358531999128973,0.22371647,25.21778298203224
