Nh,Estimated Time (s),Estimated Energy (J)
10,1.6195690971111447e-05,0.0006302797538384632
14,1.2683383847834264e-05,0.000517062498004427
22,9.910972862333322e-06,0.000428399247271518
33,8.602959982750051e-06,0.0003904393468827764
49,8.058343816853746e-06,0.000382213802354254
73,8.111966591332857e-06,0.0004008804383806368
110,8.812737216616434e-06,0.0004526660418118624
164,1.0288626737049759e-05,0.0005468244900059549
245,1.2940579147461972e-05,0.0007093017884748955
365,1.7483558172284792e-05,0.0009846974745994382
545,2.5466261911050112e-05,0.0014689045410474994
813,3.988551311135278e-05,0.002347841681751392
1213,6.72408091875332e-05,0.004025415445640932
1810,0.00012201551282172507,0.007403090560098328
2701,0.0002383162667801974,0.01460381715259397
4029,0.0005005780621113262,0.03087383185962253
6011,0.001131897282438845,0.07002101339309172
8966,0.0027529498090354573,0.17022287198144134
13375,0.007206808487051835,0.4438712159358288
19952,0.02030218939561864,1.2412158498930965
19952,0.02030218939561864,1.2412158498930965
30823,0.06805470666097539,4.1111674549927555
47617,0.2487990728604719,14.79039435118
73562,0.9920478148649167,57.797462978714904
113644,4.314219859156403,245.32671815704822
175565,20.461971413138627,1131.039714244849
271224,105.84453496739258,5663.801789829031
419005,597.1360003254597,30806.57039100725
647305,3674.115985866642,182001.47520592093
1000000,24655.747217469456,1167920.760490102
